F1,F2,Cluster,Border
0.479792453689795,0.598019170363542,1,0
0.283012728837210,0.304982640997699,1,0
0.310685327684879,0.656960038397124,1,0
0.534932498956180,0.460391518787168,1,0
0.516973153385276,0.521122866741961,1,0
0.181388362496115,0.241485420073067,1,0
0.387622870591677,0.704643637941384,1,0
0.140387690042146,0.347333767273542,1,0
0.513606939099636,0.387816651440903,1,0
0.330609767131373,0.678814808321292,1,0
0.194802795863063,0.315681830958551,1,0
0.365813360705444,0.422417427851103,1,0
0.0483983501920565,0.334460089535008,1,1
0.283560000971707,0.744048280390860,1,0
0.413972493359232,0.439806541302421,1,0
0.125059054721879,0.734853287417633,1,0
0.393527109736220,0.671661807246883,1,0
0.275301186297978,0.343036471141677,1,0
0.142901714359254,0.356316880977533,1,1
0.561730513967483,0.470736688326349,1,0
0.434345897691455,0.680461139764666,1,0
0.347240805310538,0.380762643844181,1,0
0.318267184072197,0.697622508908121,1,0
0.469671276077299,0.698971190343481,1,0
0.382740115086310,0.424140535838397,1,0
0.464990440260427,0.469646359341374,1,0
0.0937663250447481,0.313435157295085,1,0
0.471116005249836,0.651299257683103,1,0
0.0128994358805854,0.731211945997237,1,0
0.345452563210367,0.640711175835530,1,0
0.255871708094123,0.364214609959395,1,0
0.483959684486763,0.332633031957676,1,0
0.405032549893502,0.371131230652710,1,0
0.385659934302721,0.678486942799607,1,0
0.444137116155310,0.624823666328139,1,0
0.0740759631421547,0.313676520186194,1,0
0.137615011176464,0.729065548272036,1,0
0.176433691649950,0.680285334331092,1,0
0.318463558130502,0.704289879245030,1,0
0.481322179427782,0.537788267397266,1,0
0.530167966533267,0.478021468377974,1,0
0.162681339683745,0.767716581903179,1,0
0.166178379712730,0.351845184918835,1,0
0.318760757259002,0.293641367379214,1,0
0.539753306196565,0.592185434880010,1,0
0.280039098444894,0.678737359036231,1,0
0.336370550922630,0.319439514790405,1,0
0.449600558395951,0.542130584944299,1,0
0.244427793114049,0.267264803930123,1,0
0.171074840027107,0.279551881625434,1,0
0.478124709609770,0.464778838356378,1,0
0.513688459093360,0.395810390630105,1,0
0.0152010084557254,0.247177321414662,1,0
0.418291837155955,0.569791736671761,1,0
0.354207097981632,0.267302047074062,1,0
0.340159639827880,0.359968447643732,1,0
0.427099660818724,0.388667822301799,1,0
0.548621575915100,0.481921148955286,1,0
0.101416985738358,0.702781751364617,1,0
0.0606366262991237,0.715524420915384,1,1
0.220059752685026,0.252262357398806,1,0
0.206011785763103,0.274580701673702,1,0
0.334351554015284,0.607959499711376,1,0
0.435866016510302,0.317207496400564,1,0
0.494475672195371,0.373434780455814,1,0
0.524270462291040,0.580519284575153,1,0
0.0897245333430870,0.282881002383507,1,0
0.114653365539156,0.693350407820229,1,0
0.224449257631126,0.693807457673630,1,0
0.453053885675363,0.346269942621484,1,0
0.200661768414289,0.727436439156165,1,0
0.462635700391398,0.439076232274143,1,0
0.311062223546070,0.661523430656644,1,0
0.168277494015979,0.724558298621425,1,0
0.491025537194274,0.563177199078075,1,0
0.507099187131687,0.438683718823253,1,0
